,LOCATION,Latitude,Longitude
335,"Seabury,Malahide",53.455547124331595,-6.177811551164661
336,"Ward River Valley,Swords",53.4558136495821,-6.249574238915191
337,"Balheary Park,Swords",53.465761411231604,-6.21839896828571
338,"Balheary Park,Swords",53.466270973599606,-6.21810132467333
339,"Balheary Park,Swords",53.466797805083104,-6.218095258809219
340,"Balheary Reservoir ,Swords",53.4723537763046,-6.2261531553405
341,"Balheary Reservoir,Swords",53.47263981976621,-6.225895952743991
342,"Balheary Reservoir,Swords",53.4729479902679,-6.2256156970355
343,"Hartstown Park,Dublin",53.393968080238,-6.41211092873122
344,"Hartstown Park,Dublin 15",53.3963384827422,-6.41292397066233
345,"Hartstown Park,Dublin 15",53.3962424394402,-6.41037074601988
346,"Mountview Park,Dublin 15",53.38945346229671,-6.405522699176
347,"St. Mologa's Park,Balbriggan",53.615899173763,-6.185493214919799
348,"St. Mologa's Park,Balbriggan",53.6156257951025,-6.183913547206809
349,"Seagrange Park,Dublin 13",53.3939238854099,-6.138809983702361
350,"Bayside School,Sutton",53.389770036888294,-6.14914963464
351,"Pinewood,Balbriggan",53.6065307243665,-6.17966815946838
352,"St. Catherines,Dublin 8",53.3659085701132,-6.469471098469451
353,"St. Catherines,Dublin 8",53.36598929579921,-6.4707290176190995
354,"Balbriggan Town Park,Balbriggan",53.603689977412394,-6.18138459670146
355,"Balbriggan Town Park,Balbriggan",53.604642797328,-6.18133609646353
356,"Ball Alley/Remount ,Lusk",53.5251287367783,-6.16069534107133
357,"Newbridge Demesne,Donabate",53.4905094536679,-6.1761856549248
358,"Newbridge Demesne,Donabate",53.4898838481802,-6.176455520413179
359,"Newbridge Demesne,Donabate",53.4892921655101,-6.176850139309419
360,"Newbridge Demesne,Donabate",53.4886223910085,-6.177060186647591
361,"Newbridge Demesne,Donabate",53.4897784740616,-6.1749623761417105
362,"Newbridge Demense,Donabate",53.489586634757394,-6.17358363107345
363,"Newbridge Demesne,Donabate",53.4887640072975,-6.1734037571103295
364,"Carrickhill Park,Portmarnock",53.431748750702106,-6.139423426279629
365,"St. Catherine's Park,Rush",53.5390290099585,-6.09337811422159
366,"St. Catherine's Park,Rush",53.538551784111206,-6.097696921549111
367,"Swords Manor,Brackenstown, Swords",53.4590387364441,-6.251152729407769
368,"Ward River Valley,Swords",53.455855532962,-6.2448869208849
369,"Balheary Park,Swords",53.4684264557609,-6.214605332188049
370,"Balheary Park,Swords",53.4692562248938,-6.2139331269076505
371,"Balheary Reservoir,Swords",53.4722086332706,-6.2245506032052695
372,"Balheary Reservoir,Swords",53.4727532143964,-6.2243781620254195
373,"Balheary Reservoir,Swords",53.4729304703839,-6.2272735509158395
374,"Hartstown Park,Dublin 15",53.3957998908194,-6.4137146627752495
375,"Hartstown Park,Dublin 15",53.395094270612,-6.4145547747004406
376,"Hartstown Park,Hartstown",53.3944687820642,-6.41258990537217
377,"Mourne View,Skerries",53.580170249165604,-6.12271431946141
378,"Mourne View,Skerries",53.5805331308631,-6.12498779672751
379,"Town Park,Balbriggan",53.5756675954932,-6.107906212155401
380,"Town Park,Skerries",53.57565232533529,-6.10949822108311
381,"Coolmine Park,Blanchardstown",53.389533679117896,-6.3925511693508605
382,"Mountview Park,Blanchardstown",53.388959705420106,-6.4070173710134695
383,"Corduff Park,Corduff",53.397387466198396,-6.379675191329969
384,"Parslickstown,Mulhuddart",53.40669450295071,-6.40399522712078
385,"Lady's Well Park,Mulhuddart",53.4074098702983,-6.38816766383641
386,"Danny's Pitches,Mulhuddart",53.412054055714904,-6.39018642298396
387,"Grace O'Malley Park,Howth",53.3850343852821,-6.068512257566611
388,"Corballis Road,Donabate",53.483807528226606,-6.136345995178651
